P/N,10,100,1000,10000
"0,1","0,00076","0,00448","0,03992","0,40826"
"0,01","0,00220","0,00654","0,03632","0,35772"
"0,001","0,00268","0,03518","0,04302","0,35290"
"0,0001","0,00244","0,10956","0,19470","0,41094"
