P/N,10,100,1000,10000
"0,1","0,00056","0,00064","0,00062","0,00062"
"0,01","0,00188","0,01010","0,00804","0,00804"
"0,001","0,00244","0,04810","0,08538","0,08954"
"0,0001","0,00212","0,16352","0,82720","1,34526"
